Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
ABCAPITAL-I.NFO,12/09/2022,09:57:40,116.85,116.85,5400,117,16200,5400,23922000
ABCAPITAL-I.NFO,12/09/2022,09:58:03,116.85,116.8,10800,116.9,5400,0,23922000
ABCAPITAL-I.NFO,12/09/2022,09:58:25,116.85,116.8,5400,116.95,5400,5400,23922000
ABCAPITAL-I.NFO,12/09/2022,09:58:47,116.85,116.8,5400,116.95,10800,5400,23922000
ABCAPITAL-I.NFO,12/09/2022,09:59:14,116.85,116.7,10800,116.9,16200,16200,23922000
ABCAPITAL-I.NFO,12/09/2022,09:59:40,116.7,116.55,5400,116.75,5400,5400,23922000
ABCAPITAL-I.NFO,12/09/2022,10:00:02,116.7,116.55,5400,116.7,5400,0,23922000
ABCAPITAL-I.NFO,12/09/2022,10:02:00,116.7,116.55,10800,116.7,5400,0,23922000
ABCAPITAL-I.NFO,12/09/2022,10:02:20,116.7,116.55,5400,116.7,5400,0,23922000
ABCAPITAL-I.NFO,12/09/2022,10:03:08,116.7,116.55,5400,116.7,16200,0,23922000
ABCAPITAL-I.NFO,12/09/2022,10:03:29,116.6,116.55,5400,116.7,16200,10800,23911200
ABCAPITAL-I.NFO,12/09/2022,10:03:49,116.55,116.5,5400,116.7,16200,5400,23911200
ABCAPITAL-I.NFO,12/09/2022,10:04:08,116.55,116.5,5400,116.7,16200,0,23911200
ABCAPITAL-I.NFO,12/09/2022,10:04:49,116.55,116.5,5400,116.6,5400,0,23911200
ABCAPITAL-I.NFO,12/09/2022,10:05:16,116.55,116.5,10800,116.6,5400,5400,23911200
ABCAPITAL-I.NFO,12/09/2022,10:05:38,116.55,116.5,10800,116.6,5400,0,23911200
ABCAPITAL-I.NFO,12/09/2022,10:06:47,116.55,116.5,10800,116.7,16200,0,23911200
ABCAPITAL-I.NFO,12/09/2022,10:07:05,116.55,116.5,10800,116.6,5400,0,23911200
ABCAPITAL-I.NFO,12/09/2022,10:07:24,116.55,116.5,10800,116.55,10800,0,23911200
ABCAPITAL-I.NFO,12/09/2022,10:07:50,116.55,116.5,10800,116.65,5400,10800,23900400
ABCAPITAL-I.NFO,12/09/2022,10:08:16,116.55,116.5,10800,116.65,5400,0,23900400
ABCAPITAL-I.NFO,12/09/2022,10:08:56,116.55,116.55,10800,116.65,5400,0,23900400
ABCAPITAL-I.NFO,12/09/2022,10:09:16,116.65,116.55,16200,116.75,5400,10800,23889600
ABCAPITAL-I.NFO,12/09/2022,10:09:44,116.75,116.6,10800,116.8,10800,21600,23889600
ABCAPITAL-I.NFO,12/09/2022,10:10:05,116.75,116.6,5400,116.8,10800,0,23889600
ABCAPITAL-I.NFO,12/09/2022,10:10:55,116.75,116.6,10800,116.75,5400,0,23889600
ABCAPITAL-I.NFO,12/09/2022,10:11:39,116.8,116.65,10800,116.8,10800,16200,23905800
ABCAPITAL-I.NFO,12/09/2022,10:11:58,116.8,116.65,5400,116.8,10800,0,23905800
ABCAPITAL-I.NFO,12/09/2022,10:12:17,116.65,116.65,5400,116.75,5400,5400,23905800
ABCAPITAL-I.NFO,12/09/2022,10:12:36,116.65,116.65,5400,116.75,5400,0,23905800
ABCAPITAL-I.NFO,12/09/2022,10:13:13,116.65,116.6,5400,116.8,16200,5400,23905800
ABCAPITAL-I.NFO,12/09/2022,10:13:31,116.8,116.65,5400,116.8,5400,10800,23905800
ABCAPITAL-I.NFO,12/09/2022,10:13:48,116.8,116.65,10800,116.8,5400,0,23905800
ABCAPITAL-I.NFO,12/09/2022,10:14:04,116.8,116.65,5400,116.8,5400,0,23905800
ABCAPITAL-I.NFO,12/09/2022,10:14:22,116.8,116.65,5400,116.75,5400,0,23905800
ABCAPITAL-I.NFO,12/09/2022,10:14:38,116.7,116.65,5400,116.8,16200,5400,23905800
ABCAPITAL-I.NFO,12/09/2022,10:14:53,116.7,116.65,5400,116.7,5400,0,23905800
ABCAPITAL-I.NFO,12/09/2022,10:15:08,116.7,116.65,5400,116.75,5400,5400,23900400
ABCAPITAL-I.NFO,12/09/2022,10:15:41,116.7,116.65,5400,116.75,5400,10800,23900400
ABCAPITAL-I.NFO,12/09/2022,10:15:57,116.7,116.65,5400,116.75,5400,0,23900400
ABCAPITAL-I.NFO,12/09/2022,10:16:54,116.65,116.55,5400,116.7,10800,5400,23900400
ABCAPITAL-I.NFO,12/09/2022,10:17:20,116.65,116.55,5400,116.7,10800,0,23900400
